maxBuy,maxSell,minBuy,buy,sell,sellVolume,buyVolume,timestamp,buyMovingWeek,sellMovingWeek,minSell
20879994.0,18000002.0,13656136.0,20879994.1,18000001.2,2230,1033.0,2026-05-27T02:00:00,632,392,
22999992.0,21598126.0,20000000.0,22999993.0,21598126.0,2704,312.0,2026-05-26T02:00:00,596,271,18000002.0
16897686.0,15469589.0,16747357.0,16897685.4,15315296.3,1882,47.0,2026-05-23T02:00:00,653,255,15315296.0
16897690.0,15315296.0,16731980.0,16731980.6,15240726.3,1662,941.0,2026-05-22T02:00:00,653,278,15240726.0
16897678.0,15315286.0,16723262.0,16897677.6,15153513.3,1598,1024.0,2026-05-21T02:00:00,612,279,15153513.0
16897684.0,15061715.0,14999998.0,14999999.0,10000012.5,1075,949.0,2026-05-20T02:00:00,676,303,10000012.0
16897690.0,10000008.0,15587128.0,15746960.7,5390391.6,81,889.0,2026-05-19T02:00:00,729,329,5390391.5
16999376.0,16400000.0,15746961.0,16935289.8,16171161.5,174,892.0,2026-05-18T02:00:00,726,318,5390390.0
16999376.0,16390562.0,16935290.0,16999375.8,16081685.9,169,902.0,2026-05-17T02:00:00,716,328,16081686.0
16999376.0,16171159.0,16825014.0,16999376.1,16081682.0,62,902.0,2026-05-16T02:00:00,732,347,16081682.0
16999380.0,16500001.0,16999376.0,16999379.7,16081680.5,3138,825.0,2026-05-15T02:00:00,778,350,16081680.0
16999388.0,16081680.0,16902782.0,16999387.2,15982533.2,2986,715.0,2026-05-14T02:00:00,783,364,15982533.0
16999398.0,16000000.0,16723819.0,16999397.6,15982530.6,2937,597.0,2026-05-13T02:00:00,748,373,15982531.0
17391376.0,16066225.0,17000000.0,17391375.1,15923064.5,2901,336.0,2026-05-11T02:00:00,781,379,15923061.0
18148704.0,16023214.0,17271688.0,18148704.8,15923058.1,2947,51.0,2026-05-10T02:00:00,767,354,15923058.0
16916872.0,15967776.0,16647545.0,16916872.1,15923052.4,2822,939.0,2026-05-08T02:00:00,676,302,15923052.0
17149998.0,15972743.0,16728047.0,17149997.9,15923048.9,2733,834.0,2026-05-07T02:00:00,718,317,15923049.0
17493572.0,15984396.0,17149998.0,17493571.6,15772123.3,2461,755.0,2026-05-06T06:00:00,731,296,15772123.0
18523398.0,15772150.0,17684864.0,18523397.7,15626723.2,1559,78.0,2026-05-05T04:00:00,721,275,15626723.0
18523400.0,15771555.0,18233730.0,18523398.6,15626712.6,1238,70.0,2026-05-04T08:00:00,712,252,15626712.0
16696910.0,15538643.0,16574987.0,16696906.1,15345958.7,1090,51.0,2026-05-03T02:00:00,746,260,15345959.0
16696906.0,15338846.0,16547213.0,16547213.2,15200005.0,861,128.0,2026-05-02T02:00:00,766,316,15200005.0
16696908.0,15200005.0,16547214.0,16696906.7,14582753.5,456,133.0,2026-05-01T02:00:00,777,323,14582754.0
16696912.0,14354353.0,16462654.0,16696911.9,14354340.5,510,121.0,2026-04-30T02:00:00,749,340,14354340.0
16696914.0,14354337.0,14820731.0,14820731.8,14231038.1,1635,2327.0,2026-04-29T02:00:00,723,381,14231038.0
14820732.0,14300000.0,14702792.0,14820731.3,14200000.4,1779,2715.0,2026-04-28T02:00:00,713,466,14200000.0
14820732.0,14000000.0,14820730.0,14820730.4,13283099.9,1547,2958.0,2026-04-27T02:00:00,704,509,13283100.0
14820730.0,14056532.0,14443158.0,14744309.7,14056531.8,2519,2976.0,2026-04-26T02:00:00,698,493,12507000.0
14744310.0,14056550.0,14613632.0,14744310.0,14056549.2,3214,3032.0,2026-04-25T02:00:00,745,459,14056543.0
14999998.0,14056548.0,14744315.0,14999997.8,14056545.4,3181,2701.0,2026-04-24T02:00:00,751,458,14056545.0
16990298.0,14200000.0,16195232.0,16990298.0,14056542.0,3120,2011.0,2026-04-23T02:00:00,725,447,14056542.0
18457964.0,17000000.0,16696933.0,18457963.6,17000000.4,3694,632.0,2026-04-22T02:00:00,731,418,14056536.0
19353216.0,17332712.0,18619966.0,19353215.8,17332711.0,3896,343.0,2026-04-21T02:00:00,731,356,17000002.0
20412300.0,17486688.0,19353218.0,20412299.7,17000002.5,3869,33.0,2026-04-20T02:00:00,726,325,17000002.0
24000002.0,17000000.0,,15256204.8,13818451.4,3463,266.0,2026-04-19T02:00:00,706,333,13818451.0
15256208.0,13818449.0,15104859.0,15104859.3,13742768.6,3113,524.0,2026-04-18T02:00:00,663,342,13742768.0
15818822.0,13742768.0,15104859.0,15818822.4,13633498.3,2988,538.0,2026-04-17T02:00:00,653,367,13633498.0
16274345.0,15555558.0,15818824.0,16274345.4,15555557.6,2877,357.0,2026-04-16T02:00:00,683,346,13244589.0
16274347.0,15555558.0,16137775.0,16274346.5,15555556.3,2796,293.0,2026-04-15T02:00:00,677,332,15555556.0
16005331.0,15617427.0,15885945.0,15966540.5,15617427.2,3245,360.0,2026-04-14T02:00:00,729,300,15555556.0
16274348.0,15644032.0,16048432.0,16205559.8,15617425.1,3246,284.0,2026-04-13T02:00:00,735,312,15617425.0
16575523.0,16019380.0,16205558.0,16476615.1,15586467.5,3136,252.0,2026-04-12T02:00:00,716,321,15586468.0
16575524.0,15635919.0,16173738.0,16173738.5,15555556.0,3070,275.0,2026-04-11T02:00:00,715,307,15555556.0
16575524.0,16000000.0,16173736.0,16575524.2,13069275.4,2662,221.0,2026-04-10T02:00:00,727,304,13069275.0
19038400.0,13679464.0,,,12518174.0,1879,,2026-04-09T02:00:00,734,340,12518174.0
19000000.0,12518166.0,,14999998.5,12518157.7,1062,747.0,2026-04-08T02:00:00,726,435,12518158.0
15000000.0,12628005.0,12890771.0,12890771.4,12152654.7,501,1638.0,2026-04-07T02:00:00,676,493,12152655.0
12890771.0,12152654.0,12813075.0,12890770.9,12113804.6,505,1780.0,2026-04-06T02:00:00,661,491,12113805.0
12890771.0,12224619.0,12600000.0,12890769.7,12072909.6,437,1804.0,2026-04-05T02:00:00,706,489,12072910.0
12890772.0,12113799.0,12735375.0,12890771.9,12072905.1,392,1779.0,2026-04-04T02:00:00,705,471,12072905.0
13194820.0,12128999.0,12890772.0,13194819.6,12072903.1,400,1644.0,2026-04-03T02:00:00,681,454,12072903.0
15779989.0,12090002.0,13194822.0,15779989.3,12000000.1,326,1266.0,2026-04-02T02:00:00,650,389,12000000.0
16471992.0,15800000.0,15500003.0,16471992.2,15500005.8,2022,603.0,2026-04-01T02:00:00,698,276,15500003.0
16999918.0,15800000.0,16687995.0,16759999.3,15500002.4,1933,209.0,2026-03-31T02:00:00,724,219,15500002.0
16999998.0,15500001.0,16632300.0,16999997.7,15065121.7,1480,140.0,2026-03-30T02:00:00,745,217,15065122.0
17000000.0,15065119.0,15701655.0,15701655.3,14856083.6,1227,206.0,2026-03-29T02:00:00,754,225,14856083.0
15999997.0,14856082.0,15570286.0,15999996.2,14414352.6,1005,202.0,2026-03-28T02:00:00,750,249,14414353.0
15999999.0,14330897.0,15634715.0,15999998.5,13878278.6,746,184.0,2026-03-27T02:00:00,743,227,13878279.0
15999999.0,13766608.0,15529810.0,15999998.8,13395076.8,541,43.0,2026-03-26T02:00:00,746,258,13395077.0
16000000.0,14000000.0,15696173.0,15999999.2,12961738.8,316,53.0,2026-03-25T02:00:00,701,276,12961739.0
16000000.0,12961739.0,13750000.0,13750000.0,12849568.7,2046,87.0,2026-03-24T02:00:00,657,248,12849569.0
13750000.0,12849569.0,13406793.0,13406793.4,12849566.0,1938,572.0,2026-03-23T02:00:00,628,245,12849566.0
13479008.0,12849566.0,13200000.0,13331355.0,12718857.8,1769,708.0,2026-03-22T02:00:00,598,224,12718858.0
13399411.0,12752885.0,13270105.0,13399410.5,12718856.9,1765,710.0,2026-03-21T02:00:00,626,211,12718857.0
13479008.0,12718856.0,13329195.0,13329194.8,12649027.7,1733,729.0,2026-03-20T02:00:00,622,217,12649028.0
13479008.0,12690531.0,13329194.0,13479006.9,12690530.1,1958,674.0,2026-03-19T02:00:00,626,194,12690530.0
13479008.0,13000000.0,13400159.0,13479007.8,12649029.8,1985,625.0,2026-03-18T02:00:00,643,190,12649030.0
13479008.0,12649030.0,13479007.0,13479007.3,12460007.4,1789,710.0,2026-03-17T02:00:00,633,204,12460007.0
13479997.0,12511004.0,13377108.0,13479995.4,12460004.2,1729,521.0,2026-03-16T02:00:00,651,196,12460004.0
13489999.0,12511002.0,13479994.0,13489999.0,12460000.8,1634,501.0,2026-03-15T02:00:00,650,212,12460001.0
13500000.0,12455001.0,13389736.0,13499999.6,11250007.6,1448,295.0,2026-03-14T02:00:00,611,229,11250008.0
13271009.0,12500000.0,12600000.0,13271008.9,11250000.3,1282,296.0,2026-03-13T02:00:00,606,239,11250000.0
