maxBuy,maxSell,minBuy,minSell,buy,sell,sellVolume,buyVolume,timestamp,buyMovingWeek,sellMovingWeek
12999992.0,11593734.0,12173453.0,11484559.0,12999992.1,11484559.1,6749,2227,2026-05-27T02:00:00,1456,500
30000000.0,13000003.0,,11484554.0,13485542.0,11484553.5,6349,18,2026-05-26T02:00:00,1257,444
14370996.0,11500000.0,12682916.0,11000002.0,14270008.2,11000002.4,4619,107,2026-05-23T02:00:00,1451,556
11851984.0,11019660.0,11353888.0,10731691.0,11739950.9,10731690.7,4008,1667,2026-05-22T02:00:00,1570,672
13366856.0,10787704.0,11639126.0,10500004.0,13366855.9,10500003.9,3215,1573,2026-05-21T02:00:00,1742,723
13716252.0,10500002.0,10659345.0,9688125.0,10767259.1,9688124.7,1588,1698,2026-05-20T02:00:00,2068,752
11762499.0,10250000.0,10760949.0,9625007.0,11762498.6,9625006.7,875,1631,2026-05-19T04:00:00,2168,787
14370996.0,13361138.0,13294628.0,5010000.0,14370996.0,13361135.4,3408,1429,2026-05-18T02:00:00,2214,721
14370998.0,13397944.0,13800000.0,13361134.0,14370998.1,13361133.8,3368,1324,2026-05-17T02:00:00,2192,685
14370998.0,14082361.0,14023704.0,13361134.0,14370997.8,14082360.8,3063,1318,2026-05-16T02:00:00,2184,588
15088234.0,14200000.0,14403069.0,14082361.0,15088234.3,14082366.2,3849,743,2026-05-15T02:00:00,2191,523
15969164.0,14082366.0,15000000.0,13600002.0,15732247.6,13600002.3,3689,58,2026-05-14T02:00:00,2092,571
15722244.0,13000000.0,12629643.0,11693065.0,12629644.7,11693064.9,1732,1151,2026-05-08T02:00:00,1507,947
15969166.0,13500005.0,11693066.0,11693062.0,15969165.6,11693061.9,1756,644,2026-05-07T02:00:00,1455,921
101000000.0,11693062.0,,11150514.0,11484956.4,11150514.4,1486,450,2026-05-06T06:00:00,1330,927
11660267.0,11150515.0,11484958.0,11150514.0,11660266.6,11150514.4,1463,329,2026-05-05T04:00:00,1388,910
11849766.0,11150514.0,11563414.0,11150514.0,11849765.8,11150513.6,1370,334,2026-05-04T08:00:00,1387,885
12346587.0,11150513.0,11849774.0,11100025.0,12346586.6,11100025.4,998,37,2026-05-03T02:00:00,1573,833
13449002.0,11500000.0,11836105.0,11100020.0,12641184.9,11100020.1,528,88,2026-05-02T02:00:00,1582,759
14000000.0,11133140.0,11356659.0,11100017.0,11416854.1,11100016.7,164,194,2026-05-01T02:00:00,1520,732
11452069.0,11115858.0,11385172.0,11100016.0,11452068.8,11100016.0,598,167,2026-04-30T02:00:00,1598,674
11762480.0,11129826.0,11307898.0,11100015.0,11762480.4,11100014.9,3635,692,2026-04-29T02:00:00,1693,667
12109735.0,11100026.0,11636620.0,11100018.0,12109733.1,11100023.0,3775,477,2026-04-28T02:00:00,1772,687
12999999.0,11185515.0,12109736.0,11100014.0,12639000.2,11100014.3,3609,281,2026-04-27T02:00:00,1805,702
12999999.0,11100011.0,11836091.0,11100007.0,11917880.9,11100007.7,3417,542,2026-04-26T02:00:00,1740,776
12485084.0,11100017.0,11636612.0,11100008.0,12485082.1,11100014.5,3590,454,2026-04-25T02:00:00,1688,799
12638995.0,11100014.0,12346578.0,11100006.0,12638994.9,11100006.1,3333,297,2026-04-24T02:00:00,1680,812
14000000.0,11500000.0,11174511.0,10491778.0,11174510.9,10491777.9,3114,55,2026-04-23T02:00:00,1580,857
11174510.0,10491778.0,10981343.0,10391233.0,11099998.7,10391232.8,3056,143,2026-04-22T02:00:00,1590,831
11174507.0,10426670.0,10856247.0,10391231.0,10962237.5,10391231.0,2817,193,2026-04-21T02:00:00,1563,776
11481024.0,10430394.0,11000000.0,10350001.0,11481024.1,10350001.4,2529,72,2026-04-20T02:00:00,1536,817
11481025.0,11340000.0,10500000.0,10140308.0,10820598.0,10140307.6,2309,108,2026-04-19T02:00:00,1481,782
11339179.0,10140306.0,10684537.0,10062622.0,11339178.9,10062621.7,2090,119,2026-04-18T02:00:00,1527,716
12096023.0,10062621.0,10472538.0,9826662.0,10472537.7,9826662.3,1700,132,2026-04-17T02:00:00,1466,758
10712647.0,9826662.0,10000000.0,9826659.0,10712646.1,9826659.3,1573,133,2026-04-16T02:00:00,1497,817
10712647.0,9826658.0,9973093.0,9730939.0,9973093.4,9730939.4,1358,320,2026-04-15T02:00:00,1463,854
11840459.0,9756422.0,9621117.0,8184043.5,9621116.6,8184043.7,796,1481,2026-04-14T02:00:00,1456,870
12096020.0,11703634.0,9359301.0,3946000.0,12096020.2,11703633.9,47,1364,2026-04-13T02:00:00,1606,797
12944914.0,11850898.0,12046744.0,11703634.0,12944913.9,11836670.1,2068,1124,2026-04-12T02:00:00,1772,808
13232666.0,11836670.0,11999999.0,11500002.0,13059399.2,11500001.6,1844,900,2026-04-11T02:00:00,1922,895
13692717.0,13099778.0,13059405.0,11500000.0,13692716.8,13051613.6,1787,671,2026-04-10T02:00:00,2211,844
14011477.0,13289437.0,13600000.0,13214884.0,14011476.7,13214897.0,5194,734,2026-04-09T02:00:00,2564,784
14099997.0,13254725.0,13831490.0,13214896.0,14011486.2,13214895.5,5151,590,2026-04-08T02:00:00,2592,799
14441223.0,13276210.0,13742786.0,13214892.0,14441221.7,13214892.4,5054,514,2026-04-07T02:00:00,2659,839
14441223.0,13214891.0,13936850.0,13214884.0,14106200.3,13214884.2,4885,668,2026-04-06T02:00:00,2526,873
14309201.0,13500000.0,14000000.0,13214883.0,14309201.1,13214883.4,4966,759,2026-04-05T02:00:00,2447,826
14309203.0,13400000.0,13844805.0,13121097.0,14309202.3,13180508.8,5020,726,2026-04-04T02:00:00,2314,751
14441223.0,13500000.0,14279145.0,12820447.0,14441222.5,12820447.3,4485,545,2026-04-03T02:00:00,2020,798
14264098.0,12892629.0,13261882.0,12758360.0,13332995.7,12758360.1,4337,952,2026-04-02T02:00:00,1637,831
14441222.0,12758360.0,13124978.0,12670006.0,14441221.7,12670006.5,4141,462,2026-04-01T02:00:00,1628,756
14591823.0,14056366.0,14104690.0,12670000.0,14591822.9,14036110.1,4032,690,2026-03-31T02:00:00,1589,655
14891596.0,14070414.0,13956957.0,12515079.0,14099995.4,12515079.0,3676,924,2026-03-30T02:00:00,1545,696
