maxBuy,maxSell,minBuy,minSell,buy,sell,sellVolume,buyVolume,timestamp,buyMovingWeek,sellMovingWeek
10000000.0,9715001.0,9943000.0,9700001.0,9999999.4,9700001.1,2052,314,2026-05-27T02:00:00,1249,790
10145498.0,9700001.0,9992288.0,9700000.0,10145497.6,9700000.6,1835,276,2026-05-26T02:00:00,1208,785
10472840.0,10000001.0,10151815.0,9757116.0,10401266.3,10000000.0,1806,198,2026-05-23T02:00:00,1221,985
10552369.0,10000000.0,10076826.0,9757117.0,10552368.6,9757116.7,1632,159,2026-05-22T02:00:00,1199,1038
10969217.0,10000000.0,10472847.0,9700000.0,10842295.0,9700000.4,1484,348,2026-05-21T02:00:00,1234,1126
10969221.0,9823749.0,10129778.0,9700000.0,10177531.1,9700000.2,1333,452,2026-05-20T02:00:00,1294,1163
10983020.0,10845047.0,10230591.0,6530000.0,10983019.1,10837785.4,6541,359,2026-05-19T04:00:00,1352,1177
10983022.0,10845047.0,10900000.0,10837785.0,10983022.5,10837785.3,6164,216,2026-05-18T02:00:00,1357,1087
11017100.0,10837786.0,10900000.0,10837785.0,11017098.5,10837785.1,6046,90,2026-05-17T02:00:00,1457,1060
11017100.0,10837786.0,10955428.0,10837785.0,10999164.6,10837785.4,6157,760,2026-05-16T02:00:00,1452,975
11017101.0,10846751.0,10983027.0,10837785.0,11017101.2,10837785.2,6122,713,2026-05-15T02:00:00,1613,901
11037028.0,10837788.0,10983030.0,10837785.0,11037027.5,10837787.7,6084,698,2026-05-14T02:00:00,1641,838
14000000.0,13520000.0,10760975.0,9519640.0,10760975.0,9519640.4,3840,338,2026-05-08T02:00:00,1553,1103
10898903.0,9526857.0,10500000.0,9454643.0,10898902.9,9454643.2,3260,607,2026-05-07T02:00:00,1501,1144
10898908.0,9454643.0,9816577.0,9454641.0,9901471.8,9454640.8,2947,691,2026-05-06T06:00:00,1535,1246
9901477.0,9454640.0,9856788.0,9454640.0,9901476.7,9454639.6,2655,685,2026-05-05T04:00:00,2173,1319
