maxBuy,maxSell,minBuy,minSell,buy,sell,sellVolume,buyVolume,timestamp,buyMovingWeek,sellMovingWeek
15829425.0,15103161.0,15367017.0,15068937.0,15716042.3,15068937.5,5703,700,2026-05-27T02:00:00,4297,1878
15895730.0,15256860.0,15624204.0,15068937.0,15895729.6,15232694.0,6342,646,2026-05-26T02:00:00,4124,1794
17350972.0,16232034.0,16770933.0,15000001.0,16915499.8,15000001.0,4671,968,2026-05-23T02:00:00,3819,1937
15085563.0,13370346.0,14082892.0,12625033.0,14576995.7,12625033.4,2888,3729,2026-05-22T02:00:00,3650,2031
14000000.0,12864254.0,13198981.0,12484453.0,13278375.6,12484452.7,2351,4491,2026-05-21T02:00:00,3547,2003
14539292.0,14250000.0,12000000.0,10000005.0,14514862.0,14250000.1,127,4134,2026-05-20T02:00:00,3566,1946
15514209.0,15000000.0,14576995.0,,15514209.2,14605024.6,92,2817,2026-05-19T02:00:00,3730,1927
16915498.0,16000001.0,15514209.0,14605024.0,16915497.3,16000000.3,4690,1520,2026-05-18T02:00:00,3755,1763
17350976.0,16365242.0,16895674.0,14922616.0,17350975.3,16077057.4,5158,1447,2026-05-17T02:00:00,3847,1775
17350992.0,16500000.0,16601000.0,16010004.0,17350992.6,16201265.4,5201,1160,2026-05-16T02:00:00,3837,1719
30000000.0,19000000.0,,14969491.0,16980000.0,14969491.1,4739,64,2026-05-15T02:00:00,4053,1665
15859997.0,15056314.0,15658246.0,14821341.0,15751236.0,14821341.1,4416,490,2026-05-14T02:00:00,4089,1698
15999994.0,15000000.0,15567134.0,14605021.0,15999993.9,14674770.0,4117,444,2026-05-13T02:00:00,3958,1737
15999999.0,15142626.0,14800000.0,14605022.0,15999999.0,14605022.4,4187,205,2026-05-11T02:00:00,4041,1900
15999999.0,14719147.0,15000000.0,14605017.0,15632942.1,14719145.5,4128,279,2026-05-10T02:00:00,4030,1911
16000000.0,14499502.0,15098210.0,13955654.0,15299887.6,13955654.7,3019,212,2026-05-08T02:00:00,4096,1861
15000000.0,14400000.0,14390394.0,13834675.0,14999997.3,13834674.6,2717,301,2026-05-07T02:00:00,4051,1836
