maxBuy,maxSell,minBuy,minSell,buy,sell,sellVolume,buyVolume,timestamp,buyMovingWeek,sellMovingWeek
34376570.0,32610924.0,33411196.0,31973276.0,33909744.8,31973275.6,6843,145,2026-05-27T02:00:00,2031,929
34656200.0,32162080.0,33716092.0,31741988.0,34656198.2,31741988.0,6281,67,2026-05-26T02:00:00,2022,897
35000000.0,30107530.0,30888534.0,29703010.0,31055093.0,29703010.2,4911,210,2026-05-23T02:00:00,1994,861
31230316.0,29631846.0,30897390.0,29478078.0,31230316.9,29478079.3,4580,209,2026-05-22T02:00:00,2006,852
31683360.0,29385856.0,30863354.0,29298938.0,31683359.5,29298939.0,4415,160,2026-05-21T02:00:00,1968,919
31933662.0,29555822.0,30499996.0,29199696.0,30499998.7,29199695.7,4342,222,2026-05-20T02:00:00,1944,901
33000000.0,29199698.0,29800000.0,29199692.0,33000000.0,29199691.5,4197,119,2026-05-19T02:00:00,2041,949
33000000.0,29323208.0,30000000.0,29000006.0,31326254.8,29000005.5,3800,139,2026-05-18T02:00:00,1858,905
31670000.0,30000000.0,30162282.0,27660882.0,30162282.9,27660882.4,3045,84,2026-05-17T02:00:00,1885,894
30765294.0,27660880.0,28683206.0,26500000.0,28749887.4,26500001.2,1965,123,2026-05-16T02:00:00,1789,875
28749888.0,26027804.0,27586040.0,25000000.0,28749887.8,25000000.4,500,205,2026-05-15T02:00:00,1754,871
30354062.0,28600942.0,28674898.0,28000000.0,30354061.6,28600939.2,2583,355,2026-05-14T02:00:00,1802,802
32651096.0,28720518.0,30354062.0,28387760.0,32651095.1,28387759.9,2365,66,2026-05-13T02:00:00,1743,830
32288444.0,31000000.0,31844414.0,30650000.0,32288443.1,30825604.3,3432,876,2026-05-11T02:00:00,1816,876
32651096.0,30898674.0,32000000.0,30650006.0,32651096.5,30650006.1,3216,940,2026-05-10T02:00:00,1760,893
34900000.0,30454314.0,31368980.0,30000004.0,31521089.5,30000005.2,2611,206,2026-05-08T02:00:00,1848,970
40000000.0,32000000.0,29133380.0,28010828.0,29133380.7,28010827.7,2254,49,2026-05-07T02:00:00,1896,980
29133382.0,28010828.0,28901080.0,28010824.0,29133379.6,28010824.6,2137,103,2026-05-06T06:00:00,1948,1011
29258116.0,28010824.0,28798998.0,27945174.0,29258117.0,27945174.6,1459,49,2026-05-05T04:00:00,1913,986
28999996.0,27945174.0,28702066.0,27900646.0,28791113.8,27900645.3,978,209,2026-05-04T08:00:00,1908,1014
30000000.0,27906474.0,28884274.0,27761174.0,29393276.0,27761174.9,773,42,2026-05-03T02:00:00,2035,1003
30000000.0,28000000.0,28831988.0,27761164.0,29999998.7,27761164.6,562,53,2026-05-02T02:00:00,2092,1065
28904920.0,28010344.0,28594960.0,27761164.0,28904919.3,27761166.2,144,144,2026-05-01T02:00:00,2038,1058
28904922.0,27761170.0,28000000.0,27761164.0,28904922.4,27761166.0,146,133,2026-04-30T02:00:00,1989,1029
29032010.0,28017980.0,28809358.0,27761164.0,29032009.2,27970196.3,6718,288,2026-04-29T02:00:00,2073,948
29725228.0,28250000.0,28931138.0,27970194.0,29725226.9,27970194.1,6662,185,2026-04-28T02:00:00,2153,979
30094120.0,29000000.0,29592710.0,27761162.0,30094113.1,27761161.5,6231,66,2026-04-27T02:00:00,2191,1105
30731234.0,27825862.0,28919050.0,27385458.0,30731233.9,27385457.8,5571,51,2026-04-26T02:00:00,2177,1187
28703054.0,27366924.0,28287630.0,27170150.0,28287630.3,27170149.4,5400,456,2026-04-25T02:00:00,2152,1171
28873384.0,28500000.0,28181472.0,27170146.0,28873383.7,27170145.8,5293,339,2026-04-24T02:00:00,2155,1131
30731234.0,27170146.0,29272912.0,27170126.0,30731234.4,27170125.3,4675,159,2026-04-23T02:00:00,2194,1173
30402294.0,27170120.0,27434126.0,26071710.0,27434125.4,26071710.2,2764,228,2026-04-22T02:00:00,2158,1223
27190712.0,26000002.0,26437320.0,25000008.0,26774473.8,25088730.5,1485,430,2026-04-21T02:00:00,2130,1245
30402294.0,29000010.0,25500000.0,23400000.0,30402293.9,29000009.1,1082,404,2026-04-20T02:00:00,2027,1195
30731232.0,29139984.0,29430460.0,29000008.0,30731232.4,29000008.3,6025,318,2026-04-19T02:00:00,2058,1082
30731240.0,29086568.0,30000000.0,29000004.0,30731239.3,29000004.6,5557,241,2026-04-18T02:00:00,2042,1082
32219876.0,29160998.0,30312198.0,29000002.0,30499999.5,29000001.3,5226,228,2026-04-17T02:00:00,2117,1053
31101000.0,30400000.0,29496980.0,28648542.0,29591250.2,28648541.5,5867,904,2026-04-16T02:00:00,2074,1025
29943000.0,28648540.0,29496982.0,28648536.0,29942999.7,28648536.8,5869,815,2026-04-15T02:00:00,2052,977
32633198.0,28775346.0,29825600.0,28500008.0,32633197.9,28500007.9,5637,509,2026-04-14T02:00:00,2043,953
34114508.0,31923118.0,32482534.0,31840216.0,34114508.8,31840216.0,6533,144,2026-04-13T02:00:00,2145,909
34114516.0,32500000.0,33291210.0,31720506.0,33465735.9,31720506.1,6239,360,2026-04-12T02:00:00,2024,973
39249996.0,32138480.0,29800000.0,28500006.0,37999998.3,28500005.3,5546,68,2026-04-11T02:00:00,1978,975
42000000.0,29000000.0,29784708.0,27270664.0,30252663.6,27270663.4,4211,116,2026-04-10T02:00:00,1920,1057
30718336.0,29116186.0,29300000.0,27270656.0,30718330.9,27270656.8,3897,196,2026-04-09T02:00:00,1878,1029
42000000.0,27326332.0,28013982.0,27180326.0,28106611.4,27180326.2,3485,99,2026-04-08T02:00:00,1878,1105
28106612.0,27221562.0,27930616.0,27091224.0,28005071.1,27091224.5,3377,228,2026-04-07T02:00:00,1881,1101
28106612.0,27141992.0,27500000.0,26922306.0,28106611.8,26922305.9,3285,137,2026-04-06T02:00:00,1912,1122
28384418.0,26951192.0,27000000.0,26922306.0,28384417.4,26922305.4,3066,403,2026-04-05T02:00:00,1979,1105
29099988.0,28400000.0,28106616.0,26922298.0,28927962.3,27379734.5,3220,342,2026-04-04T02:00:00,2037,1152
29100000.0,28950000.0,28919858.0,27298670.0,29049999.5,27298671.7,3172,272,2026-04-03T02:00:00,2079,1140
30782424.0,27298670.0,28402892.0,26922292.0,28558314.1,26922291.9,2403,201,2026-04-02T02:00:00,2118,1173
28962724.0,26736452.0,27234522.0,26736448.0,27495590.7,26736447.4,1936,355,2026-04-01T02:00:00,2153,1147
28962726.0,26826608.0,27777798.0,26736434.0,28962724.8,26736434.1,1394,250,2026-03-31T02:00:00,2149,1176
30385302.0,26736432.0,27500000.0,26000002.0,30385302.6,26000002.2,637,223,2026-03-30T02:00:00,2088,1193
31609368.0,28912482.0,27243862.0,10000001.0,31609367.2,28725326.3,412,343,2026-03-29T02:00:00,2113,1169
32923508.0,31426534.0,32023508.0,30304868.0,32923507.8,31335085.5,827,267,2026-03-28T02:00:00,2095,1081
34522404.0,32000000.0,32000000.0,30304868.0,32272474.7,30304867.7,480,267,2026-03-27T02:00:00,2110,1032
36000000.0,31122442.0,30915256.0,30200000.0,30994727.8,30200000.5,616,183,2026-03-26T02:00:00,2108,984
30541012.0,30000000.0,29554784.0,27882156.0,30541012.0,29037809.5,313,240,2026-03-25T02:00:00,2027,983
30994728.0,29734786.0,30541014.0,29675416.0,30637189.3,29675417.7,7657,272,2026-03-24T02:00:00,2097,997
31686268.0,29741382.0,30599998.0,29675416.0,31686266.7,29675415.8,7633,65,2026-03-23T02:00:00,2167,1009
31909706.0,29675414.0,31263358.0,28886652.0,31909701.9,28886653.0,6749,55,2026-03-22T02:00:00,2211,1178
31909708.0,28886330.0,29499998.0,28421068.0,31909707.4,28421067.3,5648,47,2026-03-21T02:00:00,2334,1173
32297338.0,28421062.0,29569610.0,28257432.0,29715409.0,28257432.6,4882,86,2026-03-20T02:00:00,2329,1165
36000000.0,30000000.0,29561934.0,27454894.0,36000000.0,27454893.9,4195,74,2026-03-19T02:00:00,2480,1167
