maxBuy,maxSell,minBuy,minSell,buy,sell,sellVolume,buyVolume,timestamp,buyMovingWeek,sellMovingWeek
26421728.0,26000000.0,26108866.0,25267268.0,26399995.0,25267268.8,1893,225,2026-05-27T02:00:00,3076,1610
26999998.0,26000000.0,26012342.0,25223438.0,26500332.5,25223438.3,1745,364,2026-05-26T02:00:00,3033,1477
27000000.0,25230902.0,25619954.0,25156228.0,25856026.6,25219290.1,1851,453,2026-05-23T02:00:00,3249,1462
27078552.0,25262964.0,25856028.0,25156224.0,27078551.9,25156224.3,1719,499,2026-05-22T02:00:00,3528,1370
27346932.0,25156220.0,25998242.0,24663336.0,27078572.4,24663337.0,1202,976,2026-05-21T02:00:00,3862,1446
26060376.0,24508860.0,25349056.0,24275552.0,25558381.9,24275552.2,946,1396,2026-05-20T02:00:00,3827,1615
27345000.0,24275548.0,25000000.0,24208028.0,27344999.6,24208027.5,690,1248,2026-05-19T04:00:00,3967,1699
27346946.0,26591130.0,24470802.0,24042814.0,27346945.5,26591130.6,2511,1034,2026-05-18T02:00:00,3880,1669
28999740.0,26642974.0,27000000.0,26591128.0,28999739.0,26591128.9,2482,64,2026-05-17T02:00:00,4059,1563
28999746.0,26591130.0,26621256.0,25882196.0,26895994.7,25882195.5,1249,341,2026-05-16T02:00:00,3994,1534
28279804.0,25932884.0,25499998.0,24042824.0,27599996.4,24042823.5,674,83,2026-05-15T02:00:00,3761,1728
27599998.0,24166890.0,24620580.0,24042810.0,25041672.8,24042810.7,366,185,2026-05-14T02:00:00,3805,1642
27999994.0,26153702.0,25000000.0,23500000.0,27800995.8,26010012.3,399,656,2026-05-08T02:00:00,5542,2137
28253376.0,27700000.0,27499998.0,26010002.0,27666078.8,26010002.3,185,912,2026-05-07T02:00:00,5504,2140
27666090.0,26238730.0,27000000.0,26010000.0,27666090.2,26084525.7,149,806,2026-05-06T06:00:00,6054,2191
28434852.0,27000002.0,27485580.0,26010000.0,28434850.8,26933805.1,326,1558,2026-05-05T04:00:00,6614,2103
28434854.0,28000000.0,26877504.0,26010000.0,28434854.6,27261743.8,1077,1501,2026-05-04T08:00:00,6332,1977
35000000.0,28000000.0,27500000.0,26532516.0,28499999.3,26532515.0,434,160,2026-05-03T02:00:00,5568,2092
28259996.0,27041338.0,26727152.0,26010000.0,28020595.8,27000001.5,246,308,2026-05-02T02:00:00,5500,1990
29000000.0,27350000.0,27205616.0,26799954.0,27402459.5,26799953.3,281,345,2026-05-01T02:00:00,5342,2035
28900000.0,26901914.0,27105238.0,26700988.0,27537483.7,26752025.8,198,206,2026-04-30T02:00:00,5076,2198
29000000.0,28200000.0,27438196.0,25243668.0,28499992.4,25250000.2,2660,313,2026-04-29T02:00:00,4450,2218
28500000.0,27500000.0,26000000.0,24863998.0,26999988.4,25900000.8,2448,204,2026-04-28T02:00:00,3765,2293
27000000.0,25370992.0,25139674.0,24678498.0,26001144.7,24678499.0,1842,458,2026-04-27T02:00:00,3910,2405
26451138.0,24978136.0,25000000.0,24678490.0,26451137.8,24908729.2,2139,207,2026-04-26T02:00:00,3995,2370
27000000.0,24908730.0,25000000.0,24678490.0,25417308.1,24678489.6,1713,210,2026-04-25T02:00:00,4004,2335
25779398.0,24780596.0,25293454.0,24678488.0,25669306.6,24728028.2,1511,246,2026-04-24T02:00:00,4123,2233
26140496.0,25122966.0,25000000.0,24620542.0,26034610.5,25081639.8,3522,289,2026-04-23T02:00:00,4008,2144
