maxBuy,maxSell,minBuy,minSell,buy,sell,sellVolume,buyVolume,timestamp,buyMovingWeek,sellMovingWeek
17672926.0,17200000.0,17205506.0,16776984.0,17583331.1,16776984.3,2343,932,2026-05-27T02:00:00,2923,907
18313818.0,16831648.0,17430126.0,16638265.0,17499999.8,16638265.2,2181,431,2026-05-26T02:00:00,2768,918
16999998.0,16031507.0,16351238.0,15689031.0,16630098.7,16000000.3,1721,1683,2026-05-23T02:00:00,2759,827
16999998.0,16000001.0,16421854.0,15569630.0,16999998.0,15569630.3,1635,1562,2026-05-22T02:00:00,2751,834
17000000.0,16999000.0,16165342.0,14824014.0,16165342.3,14824014.1,1151,1671,2026-05-21T02:00:00,2789,880
15508317.0,14718321.0,15270152.0,14254846.0,15270153.9,14254845.8,959,1826,2026-05-20T02:00:00,2890,866
16165342.0,15000000.0,15110394.0,14254830.0,15110394.1,14254829.6,698,1708,2026-05-19T02:00:00,2999,892
17393086.0,15000000.0,15110394.0,12501005.0,17393086.1,12501005.4,178,1600,2026-05-18T02:00:00,2904,802
17443658.0,17040932.0,17275406.0,16822814.0,17325694.6,16822813.4,2073,1623,2026-05-17T02:00:00,2842,815
17443662.0,16911362.0,17230146.0,16822814.0,17443661.4,16879723.6,2019,1560,2026-05-16T02:00:00,2789,790
17961014.0,17071602.0,17491262.0,16879724.0,17852885.9,16879724.5,2039,934,2026-05-15T02:00:00,2835,768
17961016.0,16879724.0,17220220.0,16750222.0,17272441.9,16750221.8,1998,1448,2026-05-14T02:00:00,2908,777
17466578.0,17000000.0,17130920.0,16750220.0,17466576.2,16750219.8,1985,1449,2026-05-13T02:00:00,2841,784
17704294.0,16891766.0,17541780.0,16750225.0,17608884.2,16750224.8,2069,1247,2026-05-11T02:00:00,3026,873
18110214.0,17700296.0,17445738.0,16618289.0,18110212.9,16700717.9,1933,809,2026-05-10T02:00:00,3035,869
25000000.0,15062599.0,,14696655.0,15975123.8,14696656.6,1498,506,2026-05-08T02:00:00,3105,846
15975127.0,15869091.0,15432109.0,14483968.0,15975126.1,15869091.0,1973,600,2026-05-07T02:00:00,3015,844
