maxBuy,maxSell,minBuy,minSell,buy,sell,sellVolume,buyVolume,timestamp,buyMovingWeek,sellMovingWeek
17857162.0,17000006.0,17273456.0,16691500.0,17647921.8,16755905.0,3764,446,2026-05-27T02:00:00,2299,941
17979524.0,16755905.0,17192120.0,16691502.0,17378225.3,16691501.6,3721,673,2026-05-26T02:00:00,2157,1004
17530204.0,17000000.0,16888660.0,15500001.0,17026421.5,15500000.9,2747,565,2026-05-23T02:00:00,2034,1143
17026418.0,15000000.0,15424208.0,14229131.0,15859875.6,14229131.2,1639,1052,2026-05-22T02:00:00,1947,1164
16050615.0,14310667.0,15263277.0,13854478.0,15786987.1,13854478.2,810,1283,2026-05-21T02:00:00,1922,1172
17026418.0,16090149.0,15786989.0,,16953777.3,16090149.0,5,777,2026-05-20T02:00:00,1946,1202
18310492.0,17800000.0,17026418.0,16300013.0,18310492.5,17800000.0,2073,289,2026-05-19T02:00:00,2065,1134
19671642.0,18800000.0,18310492.0,16300012.0,19671641.3,18335170.6,2665,52,2026-05-18T02:00:00,2110,1059
20300742.0,18506814.0,19190240.0,18010010.0,19599992.7,18010009.3,2456,221,2026-05-17T02:00:00,2142,1075
21198940.0,19030000.0,19068420.0,18010006.0,21198939.3,18507490.1,2760,136,2026-05-16T02:00:00,2135,1020
21500000.0,20000000.0,17906846.0,16300006.0,17906846.1,16300006.3,1852,62,2026-05-15T02:00:00,2312,1047
17906846.0,16300001.0,17162886.0,16090148.0,17414515.7,16090148.3,1381,130,2026-05-14T02:00:00,2375,1079
17414516.0,16500002.0,16988938.0,16090142.0,17414515.8,16090141.7,1201,132,2026-05-13T02:00:00,2363,1113
17099992.0,15280578.0,16658000.0,14798394.0,16999999.9,14798394.2,903,764,2026-05-11T02:00:00,2347,1241
17128520.0,15564306.0,15999999.0,14414004.0,17128520.8,14414003.9,540,774,2026-05-10T02:00:00,2357,1239
21552082.0,19248828.0,,14108277.0,15410821.0,14108277.1,486,374,2026-05-08T02:00:00,2408,1245
15555555.0,14400000.0,15000000.0,13867502.0,15299999.0,13867502.0,121,485,2026-05-07T02:00:00,2382,1209
15299999.0,15000000.0,14669767.0,13200005.0,14800954.8,14110494.1,1046,947,2026-05-06T06:00:00,2406,1216
15187707.0,14618751.0,14810303.0,14203962.0,15187706.8,14591941.9,1255,705,2026-05-05T04:00:00,2487,1222
15835109.0,14641805.0,15000000.0,14533360.0,15835108.7,14533360.5,1249,310,2026-05-04T08:00:00,2552,1256
15979752.0,15086201.0,15792822.0,14110493.0,15881776.7,15000008.0,1083,373,2026-05-03T02:00:00,2545,1237
16209583.0,16000000.0,15881774.0,14000009.0,16209582.6,14000009.2,765,29,2026-05-02T02:00:00,2568,1201
15625394.0,14500000.0,14943284.0,14000000.0,14943284.3,14213390.0,600,288,2026-05-01T02:00:00,2446,1231
15751022.0,15089833.0,14968103.0,13200003.0,15751022.1,15089832.6,205,362,2026-04-30T02:00:00,2453,1254
16625850.0,15206258.0,15300000.0,15089828.0,15999999.9,15089829.6,2740,207,2026-04-29T02:00:00,2517,1222
18000000.0,15000001.0,14366531.0,13165322.0,14999997.2,14050009.3,4289,32,2026-04-28T02:00:00,2427,1293
14999994.0,14500000.0,14700000.0,14134062.0,14999991.9,14134062.2,4449,1436,2026-04-27T02:00:00,2557,1328
15999997.0,14121380.0,14680600.0,14000005.0,15999996.8,14000004.9,4298,1389,2026-04-26T02:00:00,2665,1462
16000000.0,14397880.0,14000000.0,13000001.0,14397883.0,13000001.1,3176,2119,2026-04-25T02:00:00,2717,1625
14978000.0,14000001.0,14358094.0,12690555.0,14978000.0,12690555.1,2543,1860,2026-04-24T02:00:00,2984,1620
14100876.0,12646692.0,13724725.0,12121188.0,13902906.0,12121188.5,1745,2154,2026-04-23T02:00:00,3026,1592
14979996.0,14044100.0,14000000.0,11120000.0,14979996.3,14000010.8,1903,2051,2026-04-22T02:00:00,2951,1558
15961832.0,14700000.0,14929935.0,14479374.0,15961831.7,14479378.7,2065,1456,2026-04-21T02:00:00,3039,1472
16998690.0,16389679.0,15589072.0,14000000.0,16998690.6,16357625.0,1658,1361,2026-04-20T02:00:00,2856,1379
21124040.0,19521310.0,16934586.0,16122788.0,21124039.2,19521310.4,2079,728,2026-04-19T02:00:00,2714,1266
23696326.0,22500000.0,21367294.0,19950002.0,23696324.8,19950001.8,3735,208,2026-04-18T02:00:00,2629,1132
23696340.0,22035000.0,22300004.0,18700060.0,23696340.4,18700059.2,2765,117,2026-04-17T02:00:00,2510,1114
24251490.0,18407862.0,,16031041.0,16846773.8,16031040.9,1914,476,2026-04-16T02:00:00,2415,1177
17020194.0,16298665.0,16579272.0,15987058.0,17020194.0,16192407.3,1876,472,2026-04-15T02:00:00,2511,1188
17106562.0,16327123.0,16752888.0,16242917.0,16809552.6,16242917.0,2592,589,2026-04-14T02:00:00,2486,1150
17731994.0,16242917.0,16574911.0,16192406.0,16574911.3,16192434.2,3119,471,2026-04-13T02:00:00,2615,1194
18093128.0,16500000.0,16722274.0,16192427.0,18093127.7,16192426.9,3105,441,2026-04-12T02:00:00,2670,1191
18593036.0,17000000.0,17194268.0,15607019.0,18593035.5,15607019.1,2231,567,2026-04-11T02:00:00,2657,1185
21225756.0,14504274.0,,14150496.0,15078897.0,14150495.6,2256,136,2026-04-10T02:00:00,2602,1216
15670783.0,14527662.0,15360995.0,14209222.0,15562185.0,14527660.6,2983,78,2026-04-09T02:00:00,2628,1244
15670787.0,14584813.0,15453586.0,14337490.0,15670787.4,14337490.6,2647,44,2026-04-08T02:00:00,2597,1241
21400974.0,14322784.0,,14150495.0,15324988.6,14150494.7,2202,93,2026-04-07T02:00:00,2605,1334
15325000.0,14100000.0,13906599.0,13906589.0,15324999.0,13906589.5,1579,101,2026-04-06T02:00:00,2533,1374
