,maxBuy,maxSell,minBuy,minSell,buy,sell,sellVolume,buyVolume,timestamp,buyMovingWeek,sellMovingWeek,buyMovingWeek_lag_1,sellMovingWeek_lag_1,buy_lag_1,sell_lag_1
1,630.0,588.5,594.3,563.5,629.9,563.8,13814822,21678317,2025-01-11 02:00:06.152,10750968,55870049,10750968.0,55870049.0,629.9,563.8
2,777.0,625.8,621.4,586.4,624.5,586.6,20053837,23665216,2025-01-12 02:00:06.161,11157751,55681137,10750968.0,55870049.0,629.9,563.8
3,670.0,592.7,600.0,531.0,654.3,588.8,21654353,7166574,2025-01-13 02:00:06.352,11811919,55820274,11157751.0,55681137.0,624.5,586.6
4,651.2,630.1,598.8,542.1,633.2,544.6,9998869,10102092,2025-01-14 02:00:26.150,11847306,55542614,11811919.0,55820274.0,654.3,588.8
5,636.0,543.3,602.5,450.0,634.7,543.1,9892540,13328418,2025-01-15 02:00:26.507,11604502,55361858,11847306.0,55542614.0,633.2,544.6
6,623.0,542.8,589.8,521.9,619.9,521.9,6434733,15338620,2025-01-16 02:00:26.144,11232352,54425282,11604502.0,55361858.0,634.7,543.1
7,600.0,547.2,547.1,530.0,548.0,531.5,8112723,18078063,2025-01-17 02:00:06.152,10880936,52601166,11232352.0,54425282.0,619.9,521.9
8,640.5,601.6,572.4,536.6,572.5,536.6,10161016,20476918,2025-01-18 02:00:06.146,10763832,52817769,10880936.0,52601166.0,548.0,531.5
9,648.2,613.8,596.5,586.8,639.6,586.8,16122384,17711794,2025-01-19 00:00:06.186,11411414,54511232,10763832.0,52817769.0,572.5,536.6
10,913.5,639.3,626.2,590.9,634.9,590.9,12834187,19884039,2025-01-20 00:00:06.157,11501517,57707933,11411414.0,54511232.0,639.6,586.8
11,759.0,625.7,665.6,601.8,759.0,613.3,15193034,461717,2025-01-21 00:00:06.265,12250852,60306511,11501517.0,57707933.0,634.9,590.9
12,678.0,610.9,619.9,560.1,659.9,602.3,13311393,4591695,2025-01-22 00:10:26.182,12750706,63059486,12250852.0,60306511.0,759.0,613.3
13,667.3,596.6,626.7,570.6,666.4,589.2,14481978,6879616,2025-01-23 00:15:06.157,13348401,66976389,12750706.0,63059486.0,659.9,602.3
14,632.2,576.5,564.6,480.0,632.2,573.0,12801003,10493007,2025-01-24 01:00:26.161,13633801,70866885,13348401.0,66976389.0,666.4,589.2
15,575.6,530.2,529.8,505.2,572.1,505.6,3758945,13835287,2025-01-25 00:00:06.193,13648374,73263957,13633801.0,70866885.0,632.2,573.0
16,570.5,550.0,552.5,524.6,559.0,525.4,7437120,16994415,2025-01-26 00:00:06.180,13035511,73639506,13648374.0,73263957.0,572.1,505.6
17,569.9,538.2,564.1,514.9,564.9,533.2,8203709,19970091,2025-01-27 04:00:06.154,12468733,70435435,13035511.0,73639506.0,559.0,525.4
18,570.0,514.1,538.0,350.0,566.4,500.4,2993110,21153020,2025-01-28 00:00:06.571,11924030,70205640,12468733.0,70435435.0,564.9,533.2
19,540.0,498.3,516.7,350.0,539.8,488.6,5829535,24590325,2025-01-29 14:00:06.342,11547154,68840298,11924030.0,70205640.0,566.4,500.4
20,533.4,490.0,505.0,423.2,525.8,423.2,5138509,26936331,2025-01-30 04:00:06.137,11337637,67783335,11547154.0,68840298.0,539.8,488.6
21,533.9,485.5,505.9,479.2,533.9,481.2,3339420,2357034,2025-01-31 06:00:21.191,11261540,66634543,11337637.0,67783335.0,525.8,423.2
22,527.6,493.0,511.8,475.0,523.1,481.8,3783823,6459141,2025-02-01 02:00:01.192,11227226,67149813,11261540.0,66634543.0,533.9,481.2
23,560.0,498.6,527.9,491.7,533.3,492.0,5452987,10619933,2025-02-02 08:55:21.201,11324588,69529890,11227226.0,67149813.0,523.1,481.8
24,560.0,511.2,530.0,497.5,542.8,497.6,7098691,8134121,2025-02-03 02:00:01.240,11409287,69168666,11324588.0,69529890.0,533.3,492.0
25,541.0,493.0,500.0,486.8,539.8,486.9,4639228,11613150,2025-02-04 06:00:41.171,11520215,69271136,11409287.0,69168666.0,542.8,497.6
26,600.0,505.1,533.3,486.8,543.0,501.0,6232935,12807301,2025-02-05 02:00:01.210,11801817,68590049,11520215.0,69271136.0,539.8,486.9
27,581.9,507.1,530.7,495.0,581.6,495.8,7444948,12478436,2025-02-06 02:00:21.173,11997879,68430712,11801817.0,68590049.0,543.0,501.0
28,554.4,510.5,519.7,490.1,537.4,504.4,5464086,3375991,2025-02-07 02:00:03.730,12078028,69205608,11997879.0,68430712.0,581.6,495.8
29,545.5,514.1,500.0,490.5,520.0,490.9,1116890,6556639,2025-02-08 02:00:23.769,12352979,67948913,12078028.0,69205608.0,537.4,504.4
30,549.2,521.7,510.0,503.9,544.0,507.1,5582585,8829265,2025-02-09 02:00:03.817,12257288,65882671,12352979.0,67948913.0,520.0,490.9
31,5000.0,541.1,550.365478515625,515.7,548.9,516.9,11212448,11466621,2025-02-10 02:00:03.787,12550615,65875699,12257288.0,65882671.0,544.0,507.1
32,633.0,533.1,539.5,515.8,633.0,522.1,13800424,2344687,2025-02-11 02:00:23.780,12754365,66528552,12550615.0,65875699.0,548.9,516.9
33,597.0,532.7,549.0,515.4,596.9,523.3,8632909,6464036,2025-02-12 02:00:03.776,12740164,66471430,12754365.0,66528552.0,633.0,522.1
34,607.8,561.4,563.2,519.6,567.5,519.6,12176493,9629930,2025-02-13 02:00:03.752,12980222,67261318,12740164.0,66471430.0,596.9,523.3
35,631.6,557.4,520.9,516.3,608.9,552.1,19005870,6294956,2025-02-14 02:00:23.807,13868663,68706037,12980222.0,67261318.0,567.5,519.6
36,3699.3,750.0,554.2,522.9,562.3,522.9,13913550,10369679,2025-02-15 02:05:03.764,14402040,71035856,13868663.0,68706037.0,608.9,552.1
37,690.9,603.9,568.9,559.0,671.4,559.6,25409513,1670581,2025-02-16 02:00:23.732,15264015,73163692,14402040.0,71035856.0,562.3,522.9
38,661.8,616.4,596.9,570.0,660.9,570.1,29236515,4339953,2025-02-17 02:00:23.803,15460286,76051559,15264015.0,73163692.0,671.4,559.6
39,760.0,590.3,580.0,570.8,647.7,571.7,30828205,6579101,2025-02-18 02:00:03.796,15871905,78471953,15460286.0,76051559.0,660.9,570.1
