maxBuy,maxSell,minBuy,minSell,buy,sell,sellVolume,buyVolume,timestamp,buyMovingWeek,sellMovingWeek
499.0,470.0,480.3,465.5,498.8,466.3,1767459,2706461,2026-05-27T02:00:00,11524220,59860142
4000.0,618.1,,460.0,516.2,471.4,28968199,16951003,2026-05-26T02:00:00,11016389,56048987
518.5,517.0,492.1,461.4,510.0,461.4,25346113,11260427,2026-05-23T02:00:00,9473109,54269913
517.2,471.0,485.3,,489.0,467.3,7823472,13688744,2026-05-22T02:00:00,9701687,58279739
491.0,467.5,460.7,456.2,490.9,457.3,4990869,12125337,2026-05-21T02:00:00,9755582,57240215
518.1,471.9,478.1,454.4,517.7,469.3,5924369,9584078,2026-05-20T02:00:00,9773662,53450998
519.7,469.9,496.7,466.1,518.3,467.4,5949794,9123615,2026-05-19T02:00:00,10528072,54176304
527.8,473.6,508.6,465.0,527.4,471.5,5940024,7121122,2026-05-18T02:00:00,10956021,53708327
530.0,474.1,494.3,454.7,499.9,455.2,4159964,11336359,2026-05-17T02:00:00,11515602,53656742
500.0,471.7,492.2,448.0,494.7,449.1,1202830,10278313,2026-05-16T02:00:00,12665549,52807375
500.0,481.2,483.9,440.0,500.0,478.9,3898541,7200170,2026-05-15T02:00:00,13066285,50609527
506.7,473.1,493.4,470.0,505.7,470.6,3975769,6070959,2026-05-14T02:00:00,13839856,54739659
548.0,484.6,497.0,468.1,520.0,471.3,4897401,4473553,2026-05-13T02:00:00,14641103,66773746
554.4,490.0,506.1,470.8,519.9,475.2,6061398,3524859,2026-05-12T02:00:00,15293755,75411627
554.7,500.0,470.8,470.0,553.1,486.2,5436700,3226307,2026-05-11T02:00:00,16011028,85399363
608.9,502.0,484.1,480.8,543.0,481.3,5180289,4093021,2026-05-10T02:00:00,16729932,94696660
510.0,470.0,480.7,456.3,508.6,462.9,4985508,5412314,2026-05-08T02:00:00,15704255,92296789
510.0,475.0,470.0,440.0,495.8,440.1,311350,5705017,2026-05-07T02:00:00,15358638,88246446
510.0,470.6,491.5,440.0,508.7,452.8,9253174,5192661,2026-05-06T06:00:00,16246255,78979452
538.1,469.5,457.2,444.8,480.0,444.8,6071172,3667545,2026-05-05T04:00:00,15492271,70054177
651.0,510.0,483.2,,624.6,502.0,5406041,1433128,2026-05-04T08:00:00,14508866,61482645
565.0,509.0,470.5,468.0,549.8,482.2,3565029,1557935,2026-05-03T02:00:00,13026590,53432923
625.0,530.0,522.1,477.0,623.7,519.4,3761311,524002,2026-05-02T02:00:00,12641260,55085827
4146.5,754.4,584.5,496.3,599.0,497.0,2328744,263647,2026-05-01T02:00:00,12169037,56269592
631.4,541.2,501.1,479.3,631.3,536.0,4203030,654965,2026-04-30T02:00:00,11564928,57089138
5000.0,565.7,,466.8,528.5,467.2,11580394,12152154,2026-04-29T02:00:00,9892332,58373156
537.9,478.0,471.6,466.8,536.8,467.7,11520371,10603568,2026-04-28T02:00:00,9745923,59186658
550.0,474.9,497.0,466.6,550.0,470.4,12281709,8869320,2026-04-27T02:00:00,9878177,60261705
557.3,476.9,469.2,465.0,533.4,466.3,11304715,9167597,2026-04-26T02:00:00,10040177,61142266
520.0,475.6,468.9,463.3,500.0,463.3,9752053,10627496,2026-04-25T02:00:00,10215725,62966541
500.0,466.1,464.0,460.1,498.0,461.7,10197654,10824717,2026-04-24T02:00:00,10247316,63790079
499.7,467.4,491.8,455.5,499.5,458.6,8464720,10147574,2026-04-23T02:00:00,10267749,64532413
500.0,467.1,491.2,455.7,500.0,458.0,7781472,8323423,2026-04-22T02:00:00,10313271,64688484
510.8,467.2,433.7,335.0,510.7,461.7,2992504,6342900,2026-04-21T02:00:00,10212792,65342758
533.0,471.5,508.0,460.8,532.8,468.0,3167209,4202883,2026-04-20T02:00:00,10091052,64038940
602.8,510.0,462.0,454.0,602.8,458.3,2126229,1385826,2026-04-19T02:00:00,10011374,67069376
800.0,495.0,,,494.9,461.2,22331291,6104654,2026-04-18T02:00:00,10129262,71590694
494.4,470.0,460.8,441.0,479.8,460.4,24430611,5632573,2026-04-17T02:00:00,10381484,75491004
502.7,466.8,470.0,460.0,501.9,461.2,25200019,3643652,2026-04-16T02:00:00,10646808,81655550
540.0,467.3,479.9,460.8,539.5,462.6,24908216,1210954,2026-04-15T02:00:00,10874926,86531843
600.0,467.1,490.0,441.0,494.0,463.8,29517155,10435453,2026-04-14T02:00:00,11115012,90970736
494.0,465.0,486.3,453.2,492.0,453.7,26485624,10341295,2026-04-13T02:00:00,11381086,92730539
494.0,460.3,484.5,419.9,493.4,425.5,19590814,10408596,2026-04-12T02:00:00,11347529,89959320
495.0,480.0,481.9,451.0,492.9,453.1,28681568,8448959,2026-04-11T02:00:00,11213544,83383135
494.0,464.4,481.8,410.9,493.7,411.2,17401416,8290423,2026-04-10T02:00:00,11029808,80002891
500.0,461.4,455.2,448.8,499.0,458.7,11867172,6988408,2026-04-09T02:00:00,10893349,74352448
514.6,464.4,485.0,449.6,494.5,449.7,8547800,7124161,2026-04-08T02:00:00,10714146,70839164
514.6,463.5,478.2,300.0,514.5,460.1,10068868,5366448,2026-04-07T02:00:00,10507057,66940286
514.1,472.0,488.5,455.1,500.0,455.2,9052282,4681934,2026-04-06T02:00:00,10334766,67043200
555.0,485.8,463.5,462.3,509.0,468.3,6646357,3737563,2026-04-05T02:00:00,10415949,67127386
556.9,468.2,479.9,452.6,556.0,452.6,3989708,2888991,2026-04-04T02:00:00,10438801,68755960
614.0,490.0,499.5,448.8,613.5,470.5,12491006,1558838,2026-04-03T02:00:00,10328407,68056369
5000.0,600.6,,463.0,505.0,463.0,11219100,27230,2026-04-02T02:00:00,10209167,68207575
497.0,460.7,485.0,440.6,496.0,440.7,4520885,4893258,2026-04-01T02:00:00,10152295,66666042
497.2,463.4,486.1,457.8,492.4,458.8,3915360,5732721,2026-03-31T02:00:00,10130281,65644055
498.8,466.2,486.6,440.0,498.8,465.4,5885933,4258822,2026-03-30T02:00:00,10134888,64701206
498.8,466.7,480.0,454.6,498.6,454.9,2988289,4055566,2026-03-29T02:00:00,10188723,70863957
498.8,465.5,479.8,457.0,495.7,457.1,4851532,4112341,2026-03-28T02:00:00,10358974,75253782
498.8,459.1,481.9,450.0,489.0,451.3,1917558,4167321,2026-03-27T02:00:00,10507057,80069618
497.0,465.6,479.1,440.3,496.0,460.3,3266328,3453970,2026-03-26T02:00:00,10599253,83695408
515.9,461.8,484.7,447.8,515.4,457.1,2537913,1206075,2026-03-25T02:00:00,10763433,88422326
738.0,488.6,462.9,452.5,539.8,453.2,15005729,3680071,2026-03-24T02:00:00,10897026,90627022
494.1,457.4,463.8,432.8,473.8,432.8,8121627,7253210,2026-03-23T02:00:00,10895771,90402507
494.1,450.1,473.2,437.2,490.0,437.2,12088313,5609790,2026-03-22T02:00:00,11000386,84887191
493.9,458.6,479.9,152.0,493.9,454.1,18739552,4265978,2026-03-21T02:00:00,10800910,79789538
595.3,458.4,488.7,448.1,590.5,455.4,20362840,1720400,2026-03-20T02:00:00,10701636,75103174
1701.4,511.2,482.0,448.1,492.0,452.3,16722881,4906751,2026-03-19T02:00:00,10578718,73248355
497.0,451.5,475.4,443.5,497.0,444.0,12752088,3896981,2026-03-18T02:00:00,10490363,72585589
508.6,476.5,496.8,442.7,508.6,464.4,5638446,2860784,2026-03-17T02:00:00,10355680,74508609
508.6,464.9,462.7,452.6,500.4,462.4,6821956,2293816,2026-03-16T02:00:00,10384348,78655564
2000.0,888.5,,445.9,498.2,445.9,2461352,859063,2026-03-15T02:00:00,10348347,82914803
4444.0,518.7,,456.1,593.9,463.6,12756530,31799,2026-03-14T02:00:00,10346536,86515111
489.4,472.9,470.0,456.4,481.9,470.0,12463003,11941393,2026-03-13T02:00:00,10290985,86814665
483.0,463.8,476.4,441.3,479.9,441.5,2372816,11303820,2026-03-12T02:00:00,10234724,84911342
493.7,461.8,479.1,433.7,490.1,456.7,6950352,8541223,2026-03-11T02:00:00,10277970,82466858
490.4,453.0,478.7,434.5,490.0,434.7,1541529,7141966,2026-03-10T02:00:00,10332541,78517498
494.0,447.6,485.7,428.9,493.8,430.1,9256363,5358283,2026-03-09T02:00:00,10291063,75846700
496.0,471.2,480.0,420.0,494.2,470.1,8538947,3830364,2026-03-08T02:00:00,10722855,78506991
515.5,475.0,482.6,,515.4,470.0,6059382,1103017,2026-03-07T02:00:00,11738807,82157986
518.6,472.5,484.3,456.5,499.5,456.6,3224433,1828326,2026-03-06T02:00:00,12301836,87959062
508.8,471.8,490.1,440.0,505.2,470.4,2779778,1703203,2026-03-05T02:00:00,13079024,94409934
518.6,476.8,470.3,470.0,516.9,471.6,5919249,2463535,2026-03-04T02:00:00,13937164,99491000
