maxBuy,maxSell,minBuy,minSell,buy,sell,sellVolume,buyVolume,timestamp,buyMovingWeek,sellMovingWeek
13497998.0,13447000.0,13167783.0,12957127.0,13497997.2,13330257.9,100706,4950,2026-05-27T02:00:00,79951,57346
13770000.0,13510002.0,13160000.0,12950000.0,13198998.8,13013161.8,96224,7399,2026-05-26T02:00:00,76950,56503
13267000.0,13250000.0,13000000.0,12900000.0,13240432.7,13130266.0,86531,7295,2026-05-23T02:00:00,75544,54438
13350000.0,13203383.0,13200000.0,12850000.0,13299897.6,13026635.1,84223,4174,2026-05-22T02:00:00,75715,53647
13300000.0,13121023.0,12947628.0,12800000.0,13289043.7,12990571.1,81696,3418,2026-05-21T02:00:00,75907,53726
13348500.0,13185044.0,12762311.0,12733815.0,13026044.0,12830397.2,77830,7175,2026-05-20T02:00:00,75533,54641
13348500.0,13215633.0,12661504.0,12600000.0,12899999.2,12700000.7,73171,8015,2026-05-19T02:00:00,77027,53865
13333333.0,13192949.0,12899000.0,12555000.0,13074393.3,12821669.4,71604,7857,2026-05-18T02:00:00,76585,52843
13238133.0,13202860.0,12588851.0,12457830.0,12596788.6,12489099.1,66140,9691,2026-05-17T02:00:00,77339,52430
13497993.0,13497000.0,13214325.0,12748113.0,13497993.2,13420000.3,66523,2281,2026-05-16T02:00:00,79044,52271
13200000.0,12883858.0,12609461.0,12403002.0,12609462.5,12403005.8,59433,7272,2026-05-15T02:00:00,81927,53033
13405218.0,13075785.0,12756250.0,12500000.0,12860973.2,12536654.0,56497,5330,2026-05-14T02:00:00,83058,52922
12997996.0,12910166.0,12698625.0,12401944.0,12939471.7,12562249.4,53348,3621,2026-05-13T02:00:00,82623,53152
13000000.0,13000000.0,12533099.0,12000000.0,12698988.5,12139148.6,49920,6921,2026-05-12T02:00:00,83439,55589
13000000.0,12950001.0,12672221.0,12000001.0,12858985.1,12296232.0,48723,6541,2026-05-11T02:00:00,84125,57372
12999999.0,12970500.0,12500000.0,12031726.0,12634391.5,12031726.5,44150,8913,2026-05-10T02:00:00,86280,59980
13500000.0,13400262.0,12145856.0,12000000.0,12404882.4,12133317.9,36930,3346,2026-05-08T02:00:00,82274,62860
12780000.0,12700000.0,12000000.0,11769788.0,12198999.7,11900006.1,33635,5651,2026-05-07T02:00:00,80729,63574
12499993.0,12335087.0,11962150.0,11578365.0,11975017.4,11578365.2,26647,7770,2026-05-06T06:00:00,80315,63833
12499998.0,12400000.0,11882774.0,11754002.0,11950273.8,11754004.8,23558,5882,2026-05-05T04:00:00,80146,61076
12400000.0,12302501.0,11900000.0,11500000.0,12199996.6,11789184.7,19643,3801,2026-05-04T08:00:00,78857,60536
12400000.0,12149001.0,11452639.0,11281872.0,11531998.7,11344852.9,13570,8448,2026-05-03T02:00:00,76749,57999
12082498.0,12000001.0,11330000.0,11200000.0,12017412.0,11801373.9,11232,4078,2026-05-02T02:00:00,76524,57162
12312583.0,12220000.0,11700000.0,11500000.0,11789998.6,11550013.9,7630,3440,2026-05-01T02:00:00,75729,56046
12719997.0,12509800.0,11799064.0,11600000.0,12074015.9,11833557.4,7549,7189,2026-04-30T02:00:00,76019,55441
12999450.0,12850001.0,11899000.0,11833555.0,12444158.8,11986558.4,94131,8332,2026-04-29T02:00:00,75783,54992
12335234.0,12200000.0,11540000.0,11400000.0,11986865.8,11725414.8,89587,9427,2026-04-28T02:00:00,74694,55659
