maxBuy,maxSell,minBuy,minSell,buy,sell,sellVolume,buyVolume,timestamp,buyMovingWeek,sellMovingWeek
16667721.0,14563110.0,14895383.0,13030129.0,16667720.8,13030128.8,1384,715,2026-05-27T02:00:00,4227,1501
17274642.0,16900000.0,16667721.0,12593477.0,17274642.9,16740268.6,6407,185,2026-05-26T02:00:00,4112,1394
17290986.0,16525950.0,16779030.0,15945357.0,17290798.2,15945356.6,6048,2006,2026-05-23T02:00:00,3844,1492
17290986.0,15764363.0,16587896.0,14696565.0,16798043.3,14696565.1,4438,2113,2026-05-22T02:00:00,3805,1639
17290994.0,14826273.0,16041680.0,14284603.0,16214999.9,14284602.7,2503,2042,2026-05-21T02:00:00,3698,1699
16216000.0,14294759.0,13375206.0,12134095.0,13375206.5,12134094.6,1257,3114,2026-05-20T02:00:00,3733,1713
14051995.0,13500000.0,13237689.0,10500009.0,14051994.8,10500009.1,756,2996,2026-05-19T02:00:00,3865,1761
16009032.0,15435077.0,11900000.0,5135000.0,16009031.8,15373069.0,25,2524,2026-05-18T02:00:00,3817,1659
16217494.0,15577758.0,16009032.0,15373070.0,16217494.1,15373070.0,290,2109,2026-05-17T02:00:00,3740,1615
18014938.0,17131846.0,16263087.0,14744164.0,18014938.2,17085367.6,2855,1381,2026-05-16T02:00:00,3741,1530
18668462.0,18200000.0,17963446.0,17500004.0,18668461.4,17682288.2,3250,167,2026-05-15T02:00:00,3988,1446
19253160.0,18000000.0,17639292.0,17031966.0,17639291.9,17031965.5,2970,503,2026-05-14T02:00:00,4083,1384
18099998.0,17500692.0,17000000.0,16389539.0,18099996.7,16389539.2,2773,497,2026-05-13T02:00:00,3980,1503
27588498.0,18560346.0,18491960.0,17000000.0,27588498.3,17585004.4,3214,60,2026-05-11T02:00:00,4076,1721
30000000.0,18085180.0,,15271761.0,16800000.0,15271760.9,2937,113,2026-05-10T02:00:00,4111,1759
15550921.0,14800000.0,15343570.0,14106437.0,15550917.3,14178663.8,2484,2134,2026-05-08T02:00:00,3945,1698
15550914.0,14106439.0,14000000.0,13355415.0,14274980.4,13355415.0,2130,2537,2026-05-07T02:00:00,3887,1672
15550916.0,13525990.0,14183024.0,12500003.0,15550916.4,12500002.6,699,2229,2026-05-06T06:00:00,3938,1572
15489528.0,14985507.0,15339788.0,14936985.0,15489527.3,14937024.5,2285,2207,2026-05-05T04:00:00,3994,1547
16775486.0,15445450.0,15339800.0,14937024.0,16775486.1,15301761.3,3072,1562,2026-05-04T08:00:00,3960,1517
18485096.0,17500000.0,17200000.0,14936990.0,18485095.3,16427879.8,1791,33,2026-05-03T02:00:00,4029,1506
19000000.0,18000000.0,16311051.0,14936982.0,16799999.6,14936981.5,1355,50,2026-05-02T02:00:00,4229,1553
15890000.0,15000001.0,15256470.0,13432401.0,15373857.2,13500000.0,1181,137,2026-05-01T02:00:00,4235,1638
15373860.0,13432398.0,13139338.0,12177746.0,13139337.9,12177746.3,573,238,2026-04-30T02:00:00,4238,1662
15268443.0,13336137.0,12000000.0,8000000.0,15268442.7,13336136.6,3050,1986,2026-04-29T02:00:00,4389,1639
15495786.0,15000000.0,15146388.0,14534485.0,15495785.0,14722771.7,4132,1550,2026-04-28T02:00:00,4366,1671
15989842.0,15058869.0,15495790.0,14852630.0,15989841.6,15015002.0,4302,902,2026-04-27T02:00:00,4441,1695
16899000.0,15524492.0,15892338.0,14534486.0,16898999.1,14534485.6,4163,73,2026-04-26T02:00:00,4538,1810
15157768.0,15000000.0,14986472.0,14505110.0,15092499.4,14505110.5,4038,1549,2026-04-25T02:00:00,4565,1811
15234106.0,14505111.0,15089066.0,14430578.0,15234105.7,14470754.4,3966,1331,2026-04-24T02:00:00,4800,1794
15599988.0,13814342.0,14499995.0,13357831.0,14499995.5,13357831.0,3238,1145,2026-04-23T02:00:00,4871,1852
14499997.0,14000000.0,13777837.0,13075007.0,14229237.6,13075006.8,2327,1900,2026-04-22T02:00:00,4730,1860
16758342.0,16037922.0,14000000.0,12000000.0,16758342.4,16037920.2,6954,1599,2026-04-21T02:00:00,4855,1820
17618890.0,17615000.0,16682513.0,15500000.0,17618890.6,16607202.2,7262,908,2026-04-20T02:00:00,4767,1775
19684576.0,17000000.0,17426678.0,16098567.0,19684575.9,16098567.3,7027,202,2026-04-19T02:00:00,4722,1722
27000000.0,18000000.0,,15092381.0,15995991.7,15092381.4,6940,845,2026-04-18T02:00:00,4605,1676
15996000.0,15500000.0,15466996.0,14681986.0,15466996.3,14681986.2,6754,1001,2026-04-17T02:00:00,4509,1708
15467001.0,14651240.0,15169076.0,14295600.0,15198111.3,14295600.1,6537,1016,2026-04-16T02:00:00,4433,1720
15467001.0,14963773.0,15125880.0,14295596.0,15467000.8,14833350.6,6564,974,2026-04-15T02:00:00,4588,1766
15574306.0,14595434.0,14940065.0,14478177.0,14940067.3,14478178.4,6466,1210,2026-04-14T02:00:00,4508,1734
15909211.0,15574000.0,14852308.0,14444830.0,15909210.7,15077355.7,7465,665,2026-04-13T02:00:00,4681,1805
16200000.0,15255884.0,15358940.0,14541861.0,15439996.9,14541861.4,7148,1028,2026-04-12T02:00:00,4716,1689
15439999.0,14352814.0,15046435.0,14105211.0,15439998.8,14105211.0,5986,959,2026-04-11T02:00:00,4702,1785
15440000.0,14872000.0,14500000.0,14105207.0,14872577.2,14105207.4,5889,1325,2026-04-10T02:00:00,4643,1798
15610651.0,14120215.0,15062058.0,13909908.0,15610650.8,13909908.0,5058,801,2026-04-09T02:00:00,4623,1790
15998000.0,14479900.0,13761427.0,13434104.0,13795975.1,13454097.0,4644,3017,2026-04-08T02:00:00,4604,1782
14499496.0,13453421.0,13700000.0,13342387.0,14005817.4,13342386.7,4370,3267,2026-04-07T02:00:00,4737,1799
14125446.0,14000000.0,13925226.0,12700008.0,14069420.0,12700007.9,3724,3220,2026-04-06T02:00:00,4713,1790
14073069.0,13473764.0,13153388.0,12136745.0,13153388.0,12136744.7,2572,3685,2026-04-05T02:00:00,4617,1956
14125447.0,13627894.0,13051723.0,12000006.0,14125446.6,13601707.1,3028,3113,2026-04-04T02:00:00,4727,1935
14125452.0,13622919.0,13985630.0,13601704.0,14125452.2,13601704.5,3316,3200,2026-04-03T02:00:00,4693,1836
14499496.0,13646594.0,14000000.0,13601702.0,14499495.1,13601702.5,3406,2685,2026-04-02T02:00:00,4752,1814
14499999.0,13601701.0,13888888.0,12000005.0,14499998.6,12000004.6,2740,2643,2026-04-01T02:00:00,4531,1868
12561663.0,11274501.0,12000000.0,11069870.0,12157382.8,11069870.4,1463,3078,2026-03-31T02:00:00,4209,1905
15000000.0,14546424.0,12059998.0,,14999999.9,14546423.8,1474,1976,2026-03-30T02:00:00,4076,1834
16128988.0,15226265.0,15404729.0,14546423.0,16128987.9,15178753.7,1839,524,2026-03-29T02:00:00,4140,1714
16128997.0,15521950.0,15813015.0,14546422.0,16128996.7,15490002.0,1832,981,2026-03-28T02:00:00,4122,1678
16213126.0,15490002.0,15850242.0,14082189.0,15850242.1,14082189.3,1059,969,2026-03-27T02:00:00,4068,1686
14683221.0,14000000.0,13800000.0,13092674.0,13950456.2,13092673.6,463,1957,2026-03-26T02:00:00,4036,1643
16022132.0,14460859.0,13760458.0,12000000.0,16022132.5,14303235.0,132,1120,2026-03-25T02:00:00,4158,1555
17175684.0,15733688.0,16213125.0,14303233.0,17175684.4,15577903.9,4230,1137,2026-03-24T02:00:00,4193,1484
21720812.0,16500001.0,,14433182.0,15380320.5,14600000.0,4041,52,2026-03-23T02:00:00,4250,1538
15500000.0,15017115.0,15086734.0,14240244.0,15499999.7,14240243.7,3860,72,2026-03-22T02:00:00,4159,1557
15500000.0,13999990.0,14300000.0,13871934.0,14527645.7,13871934.2,3269,1178,2026-03-21T02:00:00,4167,1580
14600509.0,13871933.0,14000000.0,13705154.0,14600509.3,13705153.7,2703,1017,2026-03-20T02:00:00,4103,1607
14999000.0,13705154.0,13908330.0,13083312.0,14998999.9,13083312.7,2205,428,2026-03-19T02:00:00,4124,1630
13872566.0,13122774.0,13551944.0,13041770.0,13789484.5,13041771.1,2150,1017,2026-03-18T02:00:00,4039,1646
13969745.0,13083306.0,13647417.0,12998038.0,13969740.4,12998038.2,2018,848,2026-03-17T02:00:00,3991,1695
14428466.0,13618525.0,13500000.0,12860107.0,14428465.5,13580358.7,2141,466,2026-03-16T02:00:00,4003,1633
14999997.0,13718773.0,13920952.0,12860107.0,14999997.0,13562081.2,2124,164,2026-03-15T02:00:00,4226,1674
15000000.0,12900000.0,13142137.0,12572780.0,13536989.1,12572779.9,1870,329,2026-03-14T02:00:00,4319,1718
13536990.0,12700002.0,13205395.0,12572776.0,13267457.8,12572781.6,1847,926,2026-03-13T02:00:00,4380,1735
13344653.0,13000000.0,13267456.0,12572778.0,13344651.4,12572779.5,1926,860,2026-03-12T02:00:00,4372,1662
13472282.0,12889908.0,13267464.0,12572776.0,13472280.9,12889908.0,1981,619,2026-03-11T02:00:00,4535,1701
13537915.0,12923915.0,13462552.0,12784292.0,13537914.1,12784291.8,1954,267,2026-03-10T02:00:00,4731,1728
13625760.0,13026896.0,13346306.0,12747313.0,13625760.1,12747317.4,2168,250,2026-03-09T02:00:00,4869,1719
13865268.0,13300000.0,13698528.0,13052802.0,13865267.7,13150000.4,2916,344,2026-03-08T02:00:00,4717,1702
14055851.0,13052807.0,13710898.0,13000000.0,14055837.9,13052792.0,2632,1375,2026-03-07T02:00:00,4678,1686
14647997.0,14032401.0,14055850.0,12379369.0,14647996.6,14000001.3,1567,245,2026-03-06T02:00:00,4883,1642
15180643.0,14078000.0,12986491.0,11960002.0,12986492.7,11960001.5,1068,223,2026-03-05T02:00:00,5222,1693
13113820.0,12429325.0,12538881.0,11840569.0,12768760.3,11840570.2,491,322,2026-03-04T02:00:00,5508,1697
13113822.0,12000000.0,12768760.0,11702487.0,13113820.7,11702486.9,1712,843,2026-03-03T02:00:00,5793,1654
13182026.0,12500000.0,12000000.0,11549123.0,13018734.4,11549123.3,1174,978,2026-03-02T02:00:00,5808,1767
15489991.0,14456440.0,14697505.0,11113759.0,15489988.9,14388951.6,2497,421,2026-03-01T02:00:00,6095,1898
15490000.0,14638028.0,13949999.0,13500000.0,13999999.5,13700001.4,2491,95,2026-02-28T02:00:00,6464,1924
14000000.0,13700001.0,13866535.0,13600001.0,13866535.4,13600000.6,2451,132,2026-02-28T00:00:00,6458,1923
13490000.0,13000000.0,12541375.0,11113758.0,12541375.0,11113758.3,1243,9885,2026-02-26T02:00:00,6788,2069
12700000.0,12349875.0,11766890.0,10600990.0,11766890.1,10600989.7,435,11253,2026-02-25T02:00:00,6657,2093
11766890.0,11278593.0,11560472.0,10600966.0,11667083.5,11213966.6,847,11503,2026-02-24T02:00:00,6575,2039
12150368.0,11900000.0,11766889.0,11213966.0,12150368.2,11425904.2,1985,10593,2026-02-23T02:00:00,6472,2075
12699998.0,12000000.0,12150367.0,11305385.0,12699997.9,11844654.5,2890,9850,2026-02-22T02:00:00,6410,1876
12700000.0,12000000.0,12281870.0,11752235.0,12281869.8,11752235.6,2667,9802,2026-02-21T02:00:00,5983,1765
12500000.0,12000000.0,12075114.0,11347691.0,12151473.0,11347691.3,2183,10098,2026-02-20T02:00:00,5455,1682
12500000.0,12250000.0,11989938.0,11075003.0,12499999.9,11075003.3,1323,9511,2026-02-19T02:00:00,4961,1812
11445195.0,10800000.0,11193016.0,10514652.0,11445194.7,10514652.3,944,15010,2026-02-18T02:00:00,4845,1751
11445196.0,10977760.0,11249286.0,10414095.0,11342082.6,10414094.7,522,15270,2026-02-17T02:00:00,4899,1824
11884872.0,11033487.0,11395882.0,10952054.0,11826263.3,10952056.7,1120,14912,2026-02-16T02:00:00,5104,1937
11600000.0,11072244.0,11400000.0,10607808.0,11600000.0,10607808.2,991,17814,2026-02-15T02:00:00,5163,2046
11301407.0,11000000.0,11132815.0,10414094.0,11212671.4,10414094.2,688,18045,2026-02-14T02:00:00,5272,2113
11600314.0,11000000.0,10899998.0,10156043.0,11455886.8,10156042.6,189,17544,2026-02-13T02:00:00,5481,2220
11826263.0,11350247.0,11536519.0,,11826262.7,11298821.4,651,16666,2026-02-12T02:00:00,5661,2050
11949994.0,11500000.0,11773516.0,11228426.0,11949993.9,11228425.6,384,15871,2026-02-11T02:00:00,5523,2087
12050423.0,11888890.0,11754446.0,11190399.0,12050422.6,11190417.6,259,14764,2026-02-10T02:00:00,5357,2106
12134913.0,11447983.0,11722687.0,10750007.0,12134912.6,11373770.7,8209,13298,2026-02-09T02:00:00,5083,1877
