maxBuy,maxSell,minBuy,minSell,buy,sell,sellVolume,buyVolume,timestamp,buyMovingWeek,sellMovingWeek
16999994.0,15544208.0,16384147.0,15000007.0,16999993.9,15000006.9,8443,159,2026-05-27T02:00:00,2609,855
17291076.0,16763369.0,16751304.0,14513057.0,17291075.1,16763367.7,9135,217,2026-05-26T02:00:00,2559,762
17563730.0,14719884.0,15000000.0,14513057.0,16124235.1,14513057.4,8324,247,2026-05-23T02:00:00,2593,816
16124241.0,14670143.0,15244210.0,14285825.0,15600486.2,14285825.6,8122,415,2026-05-22T02:00:00,2592,796
15746562.0,14351208.0,15585550.0,14136482.0,15585550.7,14136481.7,8024,401,2026-05-21T02:00:00,2539,829
16345105.0,14567891.0,15000000.0,14136472.0,16345105.2,14136472.4,8011,361,2026-05-20T02:00:00,2659,820
17563730.0,14020225.0,15000000.0,14020210.0,17563729.8,14020209.8,7775,174,2026-05-19T04:00:00,2630,881
17999998.0,14020208.0,13800000.0,13513028.0,14380169.8,13513027.6,7097,604,2026-05-18T02:00:00,2336,863
15106041.0,13500000.0,13999999.0,13208159.0,15106040.9,13208158.8,6848,430,2026-05-17T02:00:00,2224,829
18000000.0,16000000.0,14079556.0,12672813.0,17999999.3,12672813.3,6355,33,2026-05-16T02:00:00,2099,783
13698926.0,12478052.0,13209404.0,12179950.0,13547027.0,12179949.5,5913,66,2026-05-15T02:00:00,2046,778
14999999.0,13000000.0,12000000.0,11641223.0,14999998.5,11641223.0,5372,47,2026-05-14T02:00:00,2037,727
19000000.0,12000000.0,12889282.0,11291883.0,13499999.5,11291883.1,4953,19,2026-05-08T02:00:00,2301,1010
13500000.0,11378673.0,12500000.0,11291852.0,13028137.7,11291852.2,3645,95,2026-05-07T02:00:00,2272,1050
13028139.0,11291852.0,12047961.0,11291846.0,12225316.8,11291846.0,3371,362,2026-05-06T06:00:00,2235,1117
12225322.0,11291844.0,12000000.0,11242708.0,12225321.5,11242708.1,2909,310,2026-05-05T04:00:00,2295,1115
12455818.0,11242707.0,11665687.0,11242703.0,12334505.7,11242703.5,2704,231,2026-05-04T08:00:00,2313,1067
12940964.0,11310095.0,12590613.0,11000005.0,12940963.8,11000004.9,640,63,2026-05-03T02:00:00,2410,1078
13127950.0,12156401.0,12656866.0,10100000.0,12864656.9,12156400.5,179,64,2026-05-02T02:00:00,2348,1068
13127951.0,12204978.0,12733276.0,12156399.0,13127951.0,12156399.3,177,94,2026-05-01T02:00:00,2350,1018
13355854.0,12156399.0,12546638.0,12156395.0,12589997.2,12156394.7,84,36,2026-04-30T02:00:00,2371,1047
13637213.0,12156410.0,12507614.0,12156405.0,13177271.2,12156408.1,2534,80,2026-04-29T02:00:00,2384,1002
13637214.0,12156408.0,13074939.0,12156403.0,13499998.7,12156403.0,2251,69,2026-04-28T02:00:00,2272,1073
13499977.0,12156402.0,12799026.0,12156398.0,13499977.0,12156397.7,2006,216,2026-04-27T02:00:00,2264,1143
13500000.0,12223574.0,12751196.0,12156392.0,12972314.4,12156392.5,1748,505,2026-04-26T02:00:00,2236,1134
13637213.0,12156393.0,12500000.0,12156388.0,13637213.0,12156388.3,1594,342,2026-04-25T02:00:00,2234,1114
13637215.0,12156388.0,12864635.0,12156385.0,12943328.3,12156384.6,1430,747,2026-04-24T02:00:00,2236,1142
13030771.0,12500000.0,12864634.0,12156384.0,13030765.6,12156385.5,1431,821,2026-04-23T02:00:00,2207,1155
13127936.0,12204964.0,12647690.0,12156386.0,13127936.3,12156386.1,1492,613,2026-04-22T02:00:00,2214,1095
14187715.0,12257946.0,12200000.0,12156379.0,14187714.2,12156378.9,1140,138,2026-04-21T02:00:00,2247,1059
13753884.0,12198840.0,12775484.0,12084168.0,13753883.8,12084168.2,688,270,2026-04-20T02:00:00,2248,1014
14256594.0,13567868.0,12499999.0,12000002.0,14125733.0,13567867.3,1290,257,2026-04-19T02:00:00,2344,941
15175386.0,13632323.0,14256594.0,13500006.0,15175384.9,13500005.8,1003,706,2026-04-18T02:00:00,2495,888
15175386.0,14181894.0,14809999.0,13500005.0,14809999.2,14000004.3,1297,1067,2026-04-17T02:00:00,2403,894
15175381.0,14000006.0,14656100.0,14000003.0,15063719.2,14000003.2,1243,1066,2026-04-16T02:00:00,2448,904
15175386.0,14000003.0,14929806.0,14000000.0,14929806.8,14000000.5,1327,1144,2026-04-15T02:00:00,2422,922
16076242.0,15000000.0,14885137.0,14380296.0,15918068.0,14494506.6,2444,1077,2026-04-14T02:00:00,2499,862
18099998.0,15083212.0,15613028.0,14000019.0,18099998.0,14000019.2,1887,685,2026-04-13T02:00:00,2509,884
18100000.0,15500000.0,14891001.0,14000000.0,15999999.7,14000000.2,1308,1106,2026-04-12T02:00:00,2349,930
15239000.0,13500006.0,13626287.0,13079977.0,13686987.8,13079977.2,803,1567,2026-04-11T02:00:00,2208,989
14685442.0,13500000.0,13538388.0,13254884.0,14685441.7,13254884.0,1642,1326,2026-04-10T02:00:00,2272,987
16000000.0,13326410.0,14000000.0,13194492.0,16000000.0,13194491.9,1355,1062,2026-04-09T02:00:00,2270,947
14211995.0,13229766.0,13490000.0,13169560.0,13999998.6,13169560.4,1360,1106,2026-04-08T02:00:00,2294,977
13999998.0,13164962.0,13696097.0,13125850.0,13912582.1,13125850.4,1476,1144,2026-04-07T02:00:00,2215,1048
14212000.0,13125850.0,13999999.0,13125835.0,14212000.0,13125835.3,1174,1115,2026-04-06T02:00:00,2103,1105
14806731.0,13180145.0,13996914.0,13079980.0,14634054.1,13079980.3,897,1053,2026-04-05T02:00:00,2199,1056
14998594.0,13132474.0,13430168.0,13079975.0,14109577.1,13132474.4,927,1096,2026-04-04T02:00:00,2201,987
14998595.0,13433434.0,13930328.0,13079971.0,14950000.0,13433434.5,577,1133,2026-04-03T02:00:00,2235,956
15199999.0,13079971.0,13637997.0,13079971.0,13820120.9,13079971.0,580,1108,2026-04-02T02:00:00,2261,979
13820120.0,13113471.0,13338042.0,13041014.0,13820118.6,13041014.2,425,1508,2026-04-01T02:00:00,2261,934
16439396.0,14986028.0,13500000.0,13000000.0,16439396.2,14986027.5,199,881,2026-03-31T02:00:00,2325,908
18999996.0,16033842.0,16384872.0,15894070.0,18999996.7,16033839.6,1028,223,2026-03-30T02:00:00,2480,813
19000000.0,15943836.0,16300000.0,14986027.0,18589602.3,14986026.9,804,25,2026-03-29T02:00:00,2568,816
17204876.0,15500000.0,15898600.0,14869236.0,16093028.1,14869236.6,435,106,2026-03-28T02:00:00,2568,843
17204878.0,14869236.0,15500000.0,14780877.0,16393968.3,14780877.8,295,122,2026-03-27T02:00:00,2483,832
17397172.0,15560778.0,15999999.0,14695977.0,17397172.2,15474244.3,254,51,2026-03-26T02:00:00,2488,778
16644246.0,15474244.0,16165116.0,15474243.0,16644244.5,15474243.4,264,107,2026-03-25T02:00:00,2434,770
17116360.0,15651933.0,16343284.0,15347842.0,17116359.0,15436271.3,5620,160,2026-03-24T02:00:00,2400,691
