maxBuy,maxSell,minBuy,minSell,buy,sell,sellVolume,buyVolume,timestamp,buyMovingWeek,sellMovingWeek
14128570.0,13323063.0,13851553.0,13323063.0,14128569.6,13323062.7,1842,77,2026-05-27T02:00:00,543,241
14317521.0,13600000.0,13975524.0,13323062.0,14317521.0,13323061.6,1806,69,2026-05-26T02:00:00,499,241
14428031.0,13203683.0,14299151.0,13139240.0,14428030.8,13139240.5,1630,38,2026-05-23T02:00:00,459,191
14428031.0,13139240.0,13839633.0,13139236.0,13839633.0,13139236.4,1490,51,2026-05-22T02:00:00,445,215
14428035.0,13139238.0,13706558.0,13000001.0,14428034.7,13000001.2,1417,42,2026-05-21T02:00:00,446,211
14428036.0,13100000.0,13483587.0,12889439.0,13483589.1,13000000.1,1442,104,2026-05-20T02:00:00,462,222
14428036.0,13000000.0,13483590.0,12889440.0,14428035.7,12889440.2,1439,15,2026-05-19T02:00:00,530,211
15000000.0,13000000.0,,12889439.0,13345576.7,12889438.7,1366,16,2026-05-18T02:00:00,545,212
13345577.0,12889439.0,13250050.0,12816344.0,13345573.0,12816343.6,1309,19,2026-05-17T02:00:00,559,213
13345574.0,12900001.0,13171936.0,12816343.0,13202151.0,12900000.1,1266,68,2026-05-16T02:00:00,553,242
13345577.0,12842804.0,13245019.0,12816342.0,13345576.8,12816342.4,1261,57,2026-05-15T02:00:00,589,253
13488335.0,12816342.0,13180647.0,12736982.0,13488335.0,12736981.8,1200,538,2026-05-14T02:00:00,599,295
13488335.0,12810239.0,13284717.0,12736980.0,13488334.7,12736980.3,1140,676,2026-05-13T02:00:00,561,299
13772889.0,13073611.0,13523310.0,12697434.0,13772889.1,13047158.4,994,700,2026-05-11T02:00:00,521,340
13943133.0,13091957.0,13772889.0,13000001.0,13943133.1,13000000.7,1002,633,2026-05-10T02:00:00,518,378
14327375.0,12778928.0,12777776.0,12500001.0,14327374.8,12500000.7,691,213,2026-05-08T02:00:00,464,364
14404179.0,14000001.0,14144639.0,12500000.0,14404179.0,14000000.4,681,158,2026-05-07T02:00:00,468,318
14498996.0,14000001.0,14404179.0,14000000.0,14498996.5,14000000.9,676,118,2026-05-06T06:00:00,489,299
14669419.0,14000001.0,14180000.0,14000000.0,14669419.4,14000000.3,674,319,2026-05-05T04:00:00,505,270
14966310.0,14048318.0,14704433.0,14000000.0,14966309.6,14000003.5,859,272,2026-05-04T08:00:00,522,262
16624400.0,14118100.0,15000000.0,14000002.0,16624399.8,14000001.6,910,38,2026-05-03T02:00:00,579,223
19900000.0,19000000.0,18316776.0,13090001.0,19899999.6,19000000.0,652,26,2026-05-02T02:00:00,640,214
